timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1490129759996,211,HTTP Request - discount,200,OK,Thread Group -100 1-1,text,true,,236,247,100,100,211,0,102
1490129760108,210,HTTP Request - discount,200,OK,Thread Group -100 1-2,text,true,,236,248,99,99,210,0,100
1490129760190,201,HTTP Request - discount,200,OK,Thread Group -100 1-3,text,true,,237,248,98,98,201,0,97
1490129760300,206,HTTP Request - discount,200,OK,Thread Group -100 1-4,text,true,,237,249,97,97,206,0,98
1490129760398,204,HTTP Request - discount,200,OK,Thread Group -100 1-5,text,true,,237,248,96,96,204,0,96
1490129760506,200,HTTP Request - discount,200,OK,Thread Group -100 1-6,text,true,,237,249,95,95,200,0,96
1490129760601,199,HTTP Request - discount,200,OK,Thread Group -100 1-7,text,true,,237,249,94,94,199,0,96
1490129760699,218,HTTP Request - discount,200,OK,Thread Group -100 1-8,text,true,,236,250,93,93,218,0,103
1490129760860,212,HTTP Request - discount,200,OK,Thread Group -100 1-9,text,true,,236,247,92,92,212,0,101
1490129760899,190,HTTP Request - discount,200,OK,Thread Group -100 1-10,text,true,,236,248,91,91,190,0,91
1490129761014,199,HTTP Request - discount,200,OK,Thread Group -100 1-11,text,true,,237,248,90,90,199,0,96
1490129761098,197,HTTP Request - discount,200,OK,Thread Group -100 1-12,text,true,,237,249,89,89,197,0,95
1490129761205,214,HTTP Request - discount,200,OK,Thread Group -100 1-13,text,true,,237,248,88,88,214,0,103
1490129761312,201,HTTP Request - discount,200,OK,Thread Group -100 1-14,text,true,,237,249,87,87,201,0,97
1490129761408,232,HTTP Request - discount,200,OK,Thread Group -100 1-15,text,true,,237,249,86,86,232,0,101
1490129761499,214,HTTP Request - discount,200,OK,Thread Group -100 1-16,text,true,,236,250,85,85,214,0,102
1490129761594,207,HTTP Request - discount,200,OK,Thread Group -100 1-17,text,true,,236,247,84,84,207,0,98
