timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1490129753793,197,HTTP Request - interest,200,OK,Thread Group -100 1-1,text,true,,236,208,62,62,197,0,95
1490129753888,216,HTTP Request - interest,200,OK,Thread Group -100 1-2,text,true,,239,208,63,63,216,0,101
1490129753989,197,HTTP Request - interest,200,OK,Thread Group -100 1-3,text,true,,236,210,64,64,197,0,96
1490129754096,201,HTTP Request - interest,200,OK,Thread Group -100 1-4,text,true,,254,213,65,65,201,0,97
1490129754198,197,HTTP Request - interest,200,OK,Thread Group -100 1-5,text,true,,255,213,66,66,197,0,95
1490129754296,205,HTTP Request - interest,200,OK,Thread Group -100 1-6,text,true,,237,211,67,67,205,0,100
1490129754396,203,HTTP Request - interest,200,OK,Thread Group -100 1-7,text,true,,236,211,68,68,203,0,96
1490129754496,202,HTTP Request - interest,200,OK,Thread Group -100 1-8,text,true,,236,208,69,69,202,0,98
1490129754597,258,HTTP Request - interest,200,OK,Thread Group -100 1-9,text,true,,239,208,71,71,258,0,97
1490129754697,200,HTTP Request - interest,200,OK,Thread Group -100 1-10,text,true,,236,210,71,71,200,0,98
1490129754796,213,HTTP Request - interest,200,OK,Thread Group -100 1-11,text,true,,254,213,72,72,213,0,103
1490129754896,200,HTTP Request - interest,200,OK,Thread Group -100 1-12,text,true,,255,213,73,73,200,0,95
1490129754996,209,HTTP Request - interest,200,OK,Thread Group -100 1-13,text,true,,237,211,74,74,209,0,101
1490129755096,211,HTTP Request - interest,200,OK,Thread Group -100 1-14,text,true,,236,211,75,75,211,0,102
1490129755196,207,HTTP Request - interest,200,OK,Thread Group -100 1-15,text,true,,236,208,76,76,207,0,97
1490129755296,200,HTTP Request - interest,200,OK,Thread Group -100 1-16,text,true,,239,208,77,77,200,0,97
1490129755396,192,HTTP Request - interest,200,OK,Thread Group -100 1-17,text,true,,236,210,78,78,192,0,93
1490129755496,223,HTTP Request - interest,200,OK,Thread Group -100 1-18,text,true,,254,213,79,79,223,0,102
1490129755596,211,HTTP Request - interest,200,OK,Thread Group -100 1-19,text,true,,255,213,80,80,211,0,103
1490129755696,202,HTTP Request - interest,200,OK,Thread Group -100 1-20,text,true,,237,211,81,81,202,0,98
1490129755796,189,HTTP Request - interest,200,OK,Thread Group -100 1-21,text,true,,236,211,82,82,189,0,91
1490129755896,208,HTTP Request - interest,200,OK,Thread Group -100 1-22,text,true,,236,208,83,83,208,0,100
1490129755996,199,HTTP Request - interest,200,OK,Thread Group -100 1-23,text,true,,239,208,84,84,199,0,95
1490129756096,207,HTTP Request - interest,200,OK,Thread Group -100 1-24,text,true,,236,210,85,85,207,0,100
1490129756196,221,HTTP Request - interest,200,OK,Thread Group -100 1-25,text,true,,254,213,86,86,221,0,102
1490129756300,196,HTTP Request - interest,200,OK,Thread Group -100 1-26,text,true,,255,213,87,87,196,0,94
1490129756398,199,HTTP Request - interest,200,OK,Thread Group -100 1-27,text,true,,237,211,88,88,199,0,95
1490129756502,209,HTTP Request - interest,200,OK,Thread Group -100 1-28,text,true,,236,211,89,89,209,0,101
1490129756598,213,HTTP Request - interest,200,OK,Thread Group -100 1-29,text,true,,236,208,90,90,213,0,101
1490129756697,213,HTTP Request - interest,200,OK,Thread Group -100 1-30,text,true,,239,208,91,91,213,0,104
1490129756800,216,HTTP Request - interest,200,OK,Thread Group -100 1-31,text,true,,236,210,92,92,216,0,102
1490129756901,215,HTTP Request - interest,200,OK,Thread Group -100 1-32,text,true,,254,213,93,93,215,0,103
1490129756999,221,HTTP Request - interest,200,OK,Thread Group -100 1-33,text,true,,255,213,94,94,221,0,105
1490129757106,200,HTTP Request - interest,200,OK,Thread Group -100 1-34,text,true,,237,211,95,95,200,0,99
1490129757204,197,HTTP Request - interest,200,OK,Thread Group -100 1-35,text,true,,236,211,96,96,197,0,96
1490129757301,212,HTTP Request - interest,200,OK,Thread Group -100 1-36,text,true,,236,208,97,97,212,0,99
1490129757408,211,HTTP Request - interest,200,OK,Thread Group -100 1-37,text,true,,239,208,98,98,211,0,102
1490129757510,199,HTTP Request - interest,200,OK,Thread Group -100 1-38,text,true,,236,210,99,99,199,0,96
1490129757612,212,HTTP Request - interest,200,OK,Thread Group -100 1-39,text,true,,254,213,100,100,212,0,98
1490129757705,209,HTTP Request - interest,200,OK,Thread Group -100 1-40,text,true,,255,213,100,100,209,0,100
1490129757813,205,HTTP Request - interest,200,OK,Thread Group -100 1-41,text,true,,237,211,100,100,205,0,98
1490129757913,215,HTTP Request - interest,200,OK,Thread Group -100 1-42,text,true,,236,211,100,100,215,0,102
1490129758013,216,HTTP Request - interest,200,OK,Thread Group -100 1-43,text,true,,236,208,100,100,216,0,94
1490129758113,207,HTTP Request - interest,200,OK,Thread Group -100 1-44,text,true,,239,208,100,100,207,0,101
1490129758213,277,HTTP Request - interest,200,OK,Thread Group -100 1-45,text,true,,236,210,100,100,277,0,103
1490129758314,193,HTTP Request - interest,200,OK,Thread Group -100 1-46,text,true,,254,213,100,100,193,0,92
1490129758413,209,HTTP Request - interest,200,OK,Thread Group -100 1-47,text,true,,255,213,100,100,209,0,96
1490129758513,213,HTTP Request - interest,200,OK,Thread Group -100 1-48,text,true,,237,211,100,100,213,0,104
1490129758614,211,HTTP Request - interest,200,OK,Thread Group -100 1-49,text,true,,236,211,100,100,211,0,98
1490129758715,210,HTTP Request - interest,200,OK,Thread Group -100 1-50,text,true,,236,208,100,100,210,0,101
1490129758823,200,HTTP Request - interest,200,OK,Thread Group -100 1-51,text,true,,239,208,100,100,200,0,95
1490129758918,231,HTTP Request - interest,200,OK,Thread Group -100 1-52,text,true,,236,210,100,100,231,0,96
1490129759023,196,HTTP Request - interest,200,OK,Thread Group -100 1-53,text,true,,254,213,100,100,196,0,95
1490129759118,210,HTTP Request - interest,200,OK,Thread Group -100 1-54,text,true,,255,213,100,100,210,0,98
1490129759223,204,HTTP Request - interest,200,OK,Thread Group -100 1-55,text,true,,237,211,100,100,204,0,99
1490129759317,199,HTTP Request - interest,200,OK,Thread Group -100 1-56,text,true,,236,211,100,100,199,0,96
1490129759421,198,HTTP Request - interest,200,OK,Thread Group -100 1-57,text,true,,236,208,100,100,198,0,94
1490129759517,205,HTTP Request - interest,200,OK,Thread Group -100 1-58,text,true,,239,208,100,100,205,0,98
1490129759619,199,HTTP Request - interest,200,OK,Thread Group -100 1-59,text,true,,236,210,100,100,199,0,97
1490129759720,209,HTTP Request - interest,200,OK,Thread Group -100 1-60,text,true,,254,213,100,100,209,0,101
1490129759829,213,HTTP Request - interest,200,OK,Thread Group -100 1-61,text,true,,255,213,100,100,213,0,102
1490129759928,207,HTTP Request - interest,200,OK,Thread Group -100 1-62,text,true,,237,211,100,100,207,0,100
1490129760028,208,HTTP Request - interest,200,OK,Thread Group -100 1-63,text,true,,236,211,99,99,208,0,98
1490129760126,212,HTTP Request - interest,200,OK,Thread Group -100 1-64,text,true,,236,208,98,98,212,0,101
1490129760224,213,HTTP Request - interest,200,OK,Thread Group -100 1-65,text,true,,239,208,97,97,213,0,95
1490129760332,205,HTTP Request - interest,200,OK,Thread Group -100 1-66,text,true,,236,210,96,96,205,0,99
1490129760431,196,HTTP Request - interest,200,OK,Thread Group -100 1-67,text,true,,254,213,95,95,196,0,94
1490129760532,214,HTTP Request - interest,200,OK,Thread Group -100 1-68,text,true,,255,213,94,94,214,0,101
1490129760632,196,HTTP Request - interest,200,OK,Thread Group -100 1-69,text,true,,237,211,93,93,196,0,95
1490129760732,196,HTTP Request - interest,200,OK,Thread Group -100 1-70,text,true,,236,211,92,92,196,0,91
1490129760832,205,HTTP Request - interest,200,OK,Thread Group -100 1-71,text,true,,236,208,92,92,205,0,95
1490129760932,209,HTTP Request - interest,200,OK,Thread Group -100 1-72,text,true,,239,208,90,90,209,0,100
1490129761035,187,HTTP Request - interest,200,OK,Thread Group -100 1-73,text,true,,236,210,89,89,187,0,91
1490129761134,190,HTTP Request - interest,200,OK,Thread Group -100 1-74,text,true,,254,213,88,88,190,0,91
1490129761238,211,HTTP Request - interest,200,OK,Thread Group -100 1-75,text,true,,255,213,87,87,211,0,102
1490129761340,204,HTTP Request - interest,200,OK,Thread Group -100 1-76,text,true,,237,211,86,86,204,0,98
1490129761438,204,HTTP Request - interest,200,OK,Thread Group -100 1-77,text,true,,236,211,85,85,204,0,95
1490129761537,212,HTTP Request - interest,200,OK,Thread Group -100 1-78,text,true,,236,208,84,84,212,0,100
1490129761640,208,HTTP Request - interest,200,OK,Thread Group -100 1-79,text,true,,239,208,83,83,208,0,100
1490129761740,195,HTTP Request - interest,200,OK,Thread Group -100 1-80,text,true,,236,210,82,82,195,0,92
1490129761840,209,HTTP Request - interest,200,OK,Thread Group -100 1-81,text,true,,254,213,81,81,209,0,100
1490129761938,204,HTTP Request - interest,200,OK,Thread Group -100 1-82,text,true,,255,213,80,80,204,0,98
1490129762040,206,HTTP Request - interest,200,OK,Thread Group -100 1-83,text,true,,237,211,79,79,206,0,98
1490129762141,199,HTTP Request - interest,200,OK,Thread Group -100 1-84,text,true,,236,211,78,78,199,0,96
1490129762240,214,HTTP Request - interest,200,OK,Thread Group -100 1-85,text,true,,236,208,77,77,214,0,101
1490129762341,243,HTTP Request - interest,200,OK,Thread Group -100 1-86,text,true,,239,208,76,76,243,0,95
1490129762441,207,HTTP Request - interest,200,OK,Thread Group -100 1-87,text,true,,236,210,75,75,207,0,95
1490129762540,198,HTTP Request - interest,200,OK,Thread Group -100 1-88,text,true,,254,213,74,74,198,0,96
1490129762640,192,HTTP Request - interest,200,OK,Thread Group -100 1-89,text,true,,255,213,73,73,192,0,93
1490129762738,200,HTTP Request - interest,200,OK,Thread Group -100 1-90,text,true,,237,211,72,72,200,0,96
1490129762843,190,HTTP Request - interest,200,OK,Thread Group -100 1-91,text,true,,236,211,71,71,190,0,91
1490129762943,213,HTTP Request - interest,200,OK,Thread Group -100 1-92,text,true,,236,208,70,70,213,0,102
1490129763044,210,HTTP Request - interest,200,OK,Thread Group -100 1-93,text,true,,239,208,69,69,210,0,99
1490129763148,205,HTTP Request - interest,200,OK,Thread Group -100 1-94,text,true,,236,210,68,68,205,0,99
1490129763239,201,HTTP Request - interest,200,OK,Thread Group -100 1-95,text,true,,254,213,67,67,201,0,98
1490129763344,207,HTTP Request - interest,200,OK,Thread Group -100 1-96,text,true,,255,213,66,66,207,0,100
1490129763443,211,HTTP Request - interest,200,OK,Thread Group -100 1-97,text,true,,237,211,65,65,211,0,101
1490129763550,213,HTTP Request - interest,200,OK,Thread Group -100 1-98,text,true,,236,211,64,64,213,0,102
1490129763643,210,HTTP Request - interest,200,OK,Thread Group -100 1-99,text,true,,236,208,63,63,210,0,101
1490129763741,210,HTTP Request - interest,200,OK,Thread Group -100 1-100,text,true,,239,208,62,62,210,0,101
